Day of Week,Likes
Friday,5.826923076923077
Monday,6.377358490566038
Saturday,5.230769230769231
Sunday,5.320754716981132
Thursday,5.8076923076923075
Tuesday,6.288461538461538
Wednesday,6.730769230769231
